344	84
345	98
346	66
347	77
340	62
341	77
342	88
343	89
348	75
349	74
298	65
299	84
296	91
297	76
294	67
295	90
292	98
293	88
290	83
291	67
199	82
198	76
195	83
194	82
197	83
196	84
191	73
190	81
193	66
192	66
270	69
271	84
272	88
273	84
274	63
275	76
276	90
277	62
278	98
279	77
449	80
448	66
443	92
442	84
441	78
440	81
447	93
446	82
445	69
444	92
108	69
109	79
102	72
103	82
100	65
101	66
106	100
107	73
104	79
105	74
438	77
439	80
436	59
437	64
434	79
435	77
432	87
433	82
430	70
431	80
339	80
338	93
335	80
334	74
337	92
336	80
331	78
330	86
333	95
332	78
238	84
239	69
234	79
235	86
236	72
237	69
230	73
231	76
232	65
233	85
146	63
147	68
144	85
145	73
142	84
143	86
140	79
141	85
148	78
149	91
133	75
132	67
131	69
130	88
137	74
136	81
135	81
134	74
494	78
495	57
139	92
138	73
490	65
491	75
492	73
493	90
407	76
406	100
405	78
404	87
403	70
402	75
401	75
400	60
409	92
408	81
379	69
378	74
371	75
370	85
373	79
372	89
375	77
374	92
377	83
376	87
393	81
392	84
391	71
390	69
397	75
396	83
395	66
394	84
399	87
398	77
245	71
244	77
247	78
246	78
241	65
240	73
243	73
242	86
249	95
248	80
458	86
459	69
450	75
451	68
452	87
453	88
454	80
455	74
456	64
457	83
179	65
178	65
177	83
176	79
175	76
174	97
173	74
172	78
171	79
170	73
182	87
183	84
180	79
181	99
186	78
187	88
184	87
185	84
188	67
189	92
322	75
323	90
320	72
321	73
326	68
327	81
324	84
325	94
328	88
329	73
201	79
200	66
203	80
202	90
205	94
204	83
207	63
206	75
209	69
208	69
120	87
121	94
122	68
123	74
124	86
125	82
126	64
127	87
128	92
129	81
414	84
415	62
416	80
417	73
410	83
411	81
412	77
413	80
498	73
418	61
419	89
499	66
319	70
318	76
313	60
312	84
311	85
310	85
317	76
316	59
315	70
314	78
496	80
497	92
368	69
369	71
366	81
367	84
364	90
365	75
362	74
363	78
360	84
361	85
380	102
381	62
382	85
383	79
384	84
385	77
386	75
387	78
388	74
389	70
258	81
259	64
252	91
253	85
250	86
251	81
256	81
257	86
254	92
255	68
500	63
469	78
468	73
465	79
464	78
467	100
466	101
461	75
460	68
463	74
462	69
168	86
169	83
164	88
165	95
166	77
167	72
160	97
161	67
162	89
163	75
357	76
356	78
355	84
354	85
353	83
352	62
351	72
350	79
359	82
358	65
216	86
217	71
214	93
215	87
212	73
213	83
210	63
211	92
218	91
219	84
289	74
288	69
281	84
280	78
283	80
282	71
285	82
284	85
287	86
286	75
263	84
262	71
261	81
260	82
267	79
266	74
265	71
264	78
269	67
268	103
115	77
114	72
117	67
116	87
111	92
110	78
113	75
112	76
119	78
118	89
429	79
428	80
421	76
420	81
423	81
422	87
425	91
424	63
427	79
426	87
308	76
309	77
300	74
301	93
302	82
303	72
304	75
305	68
306	85
307	89
229	68
228	87
227	76
226	88
225	90
224	77
223	93
222	75
221	70
220	58
151	81
150	80
153	75
152	80
155	68
154	100
157	83
156	78
159	79
158	77
489	71
488	82
487	89
486	77
485	73
484	71
483	67
482	72
481	79
480	70
472	84
473	82
470	75
471	65
476	75
477	67
474	95
475	82
478	88
479	71
