City,State,Shape,Duration,Summary,Posted,Date,Time
New York,NY,Circle,4,Looking up to the sky thought it was a shooting star; realized it was a very intense white light circle in shape.((anonymous report)),9/2/2016,8/30/2016,2:45:00
Surf City,NC,Circle,30,Orange pulsating orb above beach.,9/22/2016,8/29/2016,20:26:00
Pomona,NY,Circle,600,We saw 3 objects in the sky 2 moving horizontally and one falling at an angle vertically.,9/2/2016,8/29/2016,19:00:00
Petaluma,CA,Circle,3600,"UFO over Petaluma on August 28, 2016, @ approximately 7:30 pm..",9/2/2016,8/28/2016,19:30:00
Pottstown,PA,Circle,10,Metallic circle craft seen in sky.,9/2/2016,8/28/2016,18:00:00
Spencerport,NY,Circle,480,"Three Flaming Balls Over Spencerport, NY",8/29/2016,8/27/2016,21:25:00
Astoria,OR,Circle,3,Large yellow orb crossed the sky twice heading east.,8/29/2016,8/25/2016,23:00:00
Rantoul,IL,Circle,1800,Ufo maybe?,8/29/2016,8/24/2016,20:30:00
Lakeland,FL,Circle,240,"Driving E. In the SE direction, I notice a bright white light that isn't moving.",8/25/2016,8/24/2016,16:00:00
Rutland (near; Griffith Lake),VT,Circle,6,Bright flash of circler light over Green Mt..,8/29/2016,8/23/2016,23:00:00
Westwood,MA,Circle,10,"Bright circle light being, followed by two helicopters. ((anonymous report)).",8/25/2016,8/22/2016,21:50:00
Oak Grove,MO,Circle,5,Looked up and saw a yellow/orange stationary light that was brighter than a shooting star slowly get brighter over about two seconds.,8/25/2016,8/22/2016,21:00:00
Gillette,WY,Circle,120,Was driving mid morning and saw 6 spheres flying together and moving around each other. They were shiny and silver looking.,8/25/2016,8/21/2016,10:58:00
San Diego (North County),CA,Circle,300,"My wife and I both saw three orange lights in the sky, moving in different directions, and making no sound.",8/25/2016,8/20/2016,22:50:00
Curtis Bau,MD,Circle,180,Two orange objects over Baltimore.,8/25/2016,8/19/2016,21:45:00
Kokomo,IN,Circle,240,8-10 glowing orange red-ish orbs passing by as if migrating.,12/5/2016,8/19/2016,18:56:00
Lake Wales,FL,Circle,240,firey round object approached us and stop changing direction and color with no noise.,8/25/2016,8/18/2016,23:55:00
Maricopa,AZ,Circle,240,Bright flashing light zig zagging across the sky. ((anonymous report)),8/19/2016,8/18/2016,20:37:00
Kemp,TX,Circle,172800,Color changing light in the sky. ((NUFORC Note: Possible twinkling star?? PD)),9/22/2016,8/18/2016,0:00:00
Opelousas,LA,Circle,1200,Multi-colored flashing lights over Louisiana.,8/19/2016,8/17/2016,22:50:00
Kansas City,MO,Circle,15,"Disappearing/reappearing dot in the sky, going down.",8/19/2016,8/17/2016,21:00:00
Elizabethton,TN,Circle,120,I seen a round ball of orange light that shot up from the mountains up into the dark clouds then disappear. ((anonymous report)),8/19/2016,8/16/2016,23:00:00
White Sands,NM,Circle,30,Metallic object viewed on video in sky above White Sands National Monument,9/22/2016,8/16/2016,20:48:00
Providence,RI,Circle,600,"Red circular object moving quickly, then stops and hovers over Providence, RI, changes colors and then disappears.",8/19/2016,8/16/2016,5:30:00
Providence,RI,Circle,300,"Red orb moving quickly, then stops multiple times over Providence, RI.",8/16/2016,8/16/2016,5:30:00
Cornelius,NC,Circle,3,"One round bright light, brighter than the moon, appearing from nowhere and descending rapidly straight down followed by two smaller bri",8/16/2016,8/15/2016,23:15:00
Gilbert,AZ,Circle,300,"Round shaped object with no blinking lights, just white, first high in air, then lower instantly, moving across the sky, disappears.",8/16/2016,8/15/2016,20:05:00
Pine island,MN,Circle,60,"Orange glowing basketball ball size object far in sky motionless, then moved away, blinked 2/3 times and disappeared.",3/10/2017,8/15/2016,16:00:00
Camden,NJ,Circle,300,Red and orange light near Philadelphia international and the phillies stadium,8/16/2016,8/14/2016,21:00:00
Wheatland,CA,Circle,18000,Observed strange bluish light. North to south direction. Unknown altitude. Very Fast. Horizon to horizon in approx. two minutes.,8/16/2016,8/14/2016,21:00:00
Nashua,NH,Circle,1200,"Circular glowing craft, extremely fast. ((NUFORC Note: We believe that the object is a commercial airliner, above a contrail. PD))",8/16/2016,8/14/2016,19:00:00
Harrisburg,PA,Circle,3,"Flash of white/green light, moving very fast over the Susquehanna River. Suddenly disappears. No debris. ((anonymous report))",8/16/2016,8/13/2016,3:25:00
St. Peters,MO,Circle,8,"We thought it was a plane falling from the sky, but as it became closer to the ground we realized the bright lit red ball did not have",8/16/2016,8/12/2016,19:00:00
Stuart,FL,Circle,8,Bright white light blue hue.,8/16/2016,8/12/2016,16:00:00
Chelan,WA,Circle,3600,"Saw a doughnut-shaped object that looked like the first star just before sunset. It turned color with the sunset, and did not move.",8/16/2016,8/11/2016,20:00:00
Sharon,VT,Circle,3,Flashing bright white and red ring seen in sky above Sharon from highway. ((anonymous report)),8/16/2016,8/11/2016,20:00:00
Oak Creek,WI,Circle,300,Round Red Orb formed into two orbs and hovered over me a minute I walked back in the house came out and they were gone but then they se,8/16/2016,8/10/2016,23:45:00
Fort Lauderdale,FL,Circle,900,"Driving down the highway there was a big bright circular light, it would dim and get really bright again. Then it would break off into",8/16/2016,8/10/2016,23:00:00
Angier,NC,Circle,10,Circular Blue object appearing in the sky,8/16/2016,8/10/2016,21:34:00
Menifee,CA,Circle,2700,Invisible looking with fading out lights around rims of circle.,8/16/2016,8/10/2016,5:00:00
Colfax,WA,Circle,420,Bright flashing light too fast to be anything but a ufo following me in my truck.,8/16/2016,8/10/2016,2:30:00
Detroit,MI,Circle,300,Orange orb UFO's transform and possibly land on Detroit's westside,8/16/2016,8/9/2016,23:00:00
Starke,FL,Circle,300,((NUFORC Note: Witness does not provide any information about the sighting. PD)),8/16/2016,8/8/2016,22:30:00
Galion,OH,Circle,3600,"When looked at with the naked eye it looked like a circle, but very far away. Almost like a star during the day lit sky. Then when we u",8/16/2016,8/8/2016,19:00:00
Nampa,ID,Circle,3600,Rotating circular object with antennae.,8/16/2016,8/8/2016,17:30:00
Ocean City,MD,Circle,120,"UFO during sunrise. ((NUFORC Note: Lens flares, caused by pointing a camera toward the Sun. PD))",8/16/2016,8/8/2016,6:20:00
Indianapolis,IN,Circle,15,Watched an orange circular globe travel from east to west. It disappeared after it enters a high cloud.,8/16/2016,8/7/2016,21:35:00
Yonkers,NY,Circle,60,Bright orange circle broad daylight. ((anonymous report)),8/16/2016,8/7/2016,19:44:00
Saugerties,NY,Circle,120,"Appeared from nowhere in the east sky moving slowly south, then just disappeared.",8/16/2016,8/6/2016,23:00:00
Boise,ID,Circle,1200,Right in the middle Vega and Arcturus was a bright circular light that looked like a planet but disappeared after only 20 minutes.,8/16/2016,8/6/2016,21:30:00
Nampa,ID,Circle,3600,Shiny daytime ufo over nampa idaho 08/06/2016,8/16/2016,8/6/2016,20:45:00
Overland Park,KS,Circle,120,White roundish object moving in sky.,8/16/2016,8/6/2016,12:15:00
Barre,MA,Circle,10,Two orange orbs being chased by a military craft.,8/16/2016,8/4/2016,20:30:00
Murfreesboro,TN,Circle,120,Green ball bouncing around in front of storm.,8/16/2016,8/4/2016,19:30:00
Pigeon Forge,TN,Circle,300,"Late on 08/03/2016, I was walking to my car and as I shut the car door I noticed a bright orange/ red ball three to be exact.the",8/4/2016,8/3/2016,22:00:00
Snoqualmie,WA,Circle,30,"Dim moving light in the sky turned extremely bright and stopped for 20 seconds, before going dim again and heading in a diff. dir..",8/4/2016,8/3/2016,20:30:00
Centereach,NY,Circle,60,2 lighted ships over Centereach NY. One was lit with blue lights the other was lit in red lights,8/4/2016,8/2/2016,22:35:00
Pittsburg,CA,Circle,1200,2 silver sphere ufos.,8/4/2016,8/2/2016,1:22:00
Chico,CA,Circle,180,"UFOs seen over Chico, CA. ((anonymous report))",8/16/2016,8/1/2016,22:30:00
Baltimore,OH,Circle,240,Hovering disc with two red lights on it.,8/4/2016,8/1/2016,22:30:00
New Waterford (Canada),NS,Circle,360,"Strange balls of light seen in sky over Cape Breton Island, Nova Scotia, Canada.",8/16/2016,8/1/2016,21:30:00
Omaha,NE,Circle,180,Black ufo spotted on a late night drive.,8/2/2016,8/1/2016,21:27:00
La Vista,NE,Circle,20,It was late at night the object was a distance away but we're able to see a red light and possibly a green light as well going down.,8/4/2016,8/1/2016,21:20:00
Springfield,OR,Circle,300,Two blue circular glowing flying objects were flying near each other then went in to different directions. ((anonymous report)),8/2/2016,7/31/2016,22:00:00
Pittsburgh,PA,Circle,600,Three black objects seen in early evening sky,8/2/2016,7/31/2016,20:45:00
Fayetteville,NC,Circle,600,"Orange yellow orb seen floating over clouds, slowly moving up and down. ((NUFORC Note: Twinkling star? PD))",8/2/2016,7/31/2016,9:00:00
Angola,IN,Circle,1800,It was no crafts from this world.,8/16/2016,7/30/2016,23:45:00
Marlinton,WV,Circle,600,Saw 20-30 objects fly over no sound. Light all around then and in them. Not to big. Not in no.line. look like orbits. Not moving.,8/16/2016,7/30/2016,23:20:00
Haleiwa,HI,Circle,600,Green Glowing object shot off at very fast speed,8/2/2016,7/30/2016,3:10:00
Davenport,FL,Circle,120,"Bright orange/yellow sphere hovering over home in Davenport, FL. ((anonymous report))",8/2/2016,7/29/2016,22:00:00
Muskego,WI,Circle,120,It was really dark and all of a sudden we look up at the sky and there is this circular objects slowly going closer to the ground (didn,8/2/2016,7/29/2016,21:00:00
Galt,CA,Circle,3600,Balloon type object but seemed to be moving very slowly...wind a ground level est 4-6 knots w to e.,8/2/2016,7/29/2016,15:30:00
Mohawk,NY,Circle,90,Orange circle shaped light hovered and then moved across sky,8/2/2016,7/29/2016,9:15:00
Midlothian,VA,Circle,120,We saw a bright green ball of light last night moving steadily across the sky in a straight line. ((anonymous report)),8/2/2016,7/29/2016,0:26:00
Beowawe,NV,Circle,900,7/26/16 nine lights 7/28-29 only 8 lights?,8/2/2016,7/28/2016,8:45:00
West Valley,UT,Circle,120,Anyone see the objects in the sky with the shiny light behind it? We were on the freeway headed W. ((NUFORC Note: Space debris. PD)),8/2/2016,7/27/2016,22:39:00
Lincoln,CA,Circle,300,Orange orb traveling north/west.,8/2/2016,7/27/2016,22:20:00
Ukiah,CA,Circle,40,Big and very bright object flying low.,9/2/2016,7/27/2016,22:00:00
Santa Ana,CA,Circle,180,This flaming ball was falling at an extremely fast speed from the sky. ((NUFORC Note: Chinese rocket re-entry. PD)),8/2/2016,7/27/2016,21:45:00
Howell,NJ,Circle,120,Fireball couple hundred feet up. Flew out in the distance and went out.,8/2/2016,7/27/2016,21:00:00
Grand Canyon,AZ,Circle,30,Grand Canyon sighting.,8/16/2016,7/27/2016,20:30:00
Biddeford,ME,Circle,180,"Got out of work ,noticed a light come out from behind tree, high up about 40 degrees looking east , an orange ball shape thing travelin",8/2/2016,7/27/2016,20:03:00
Half Moon Bay,CA,Circle,1800,"Bright light in sky, moving and hovering, took off fast.",8/2/2016,7/26/2016,10:00:00
Plano,TX,Circle,240,I was out walking at night over at the park. I rounded a corner and started walking down a hill when I noticed two bright orange color,8/2/2016,7/25/2016,23:15:00
Vacaville,CA,Circle,7,"Looked like star that started moving SE slowly, then veered E quickly for a sec., and continued to fly straight, until it disappeared.",8/25/2016,7/24/2016,0:00:00
Palm Desert/La Quinta,CA,Circle,720,"My wife and I driving home and I almost t slammed on the brakes. She said, ""Don't worry, they're just stars."" We pulled over,",8/2/2016,7/23/2016,21:30:00
Canton,OH,Circle,240,"Sitting on porch, orange colored ball traveling NNE to SSW. Went across the sky at great speed and disappeared.",8/2/2016,7/23/2016,17:45:00
Bangor,ME,Circle,120,"Circular structure in sky, blue and green light. Vanished in thin air.",7/22/2016,7/22/2016,0:20:00
Gunnison,CO,Circle,4,"Large round light came from above in one smooth 3-4 second movement,",7/22/2016,7/18/2016,21:00:00
Fairfield,ME,Circle,5400,"White 'stars' that suddenly appear out of nowhere and begin zooming across the sky, sharp turns. ((NUFORC Note: Satellites?? PD))",7/22/2016,7/17/2016,21:30:00
New York City (Bronx),NY,Circle,7200,Object hovering over NYC,7/22/2016,7/17/2016,21:00:00
Milan,NH,Circle,180,Saw one red circle on the right and then a second light appeared near the other red light. ((anonymous report)),7/22/2016,7/17/2016,21:00:00
Fairfield,ME,Circle,240,Black dot the size of a star appeared and began to shine a green light intermittently as it flew over the Kennebec River to N.,7/22/2016,7/17/2016,15:30:00
