City,State,Shape,Duration,Summary,Posted,Date,Time
Corona,CA,Circle,720,Three orange circular objects in the evening sky hovered for 12 minutes and then vanished.,12/12/2009,9/12/2009,10:30:00
Lincoln,NE,Circle,900,I left my apartment around 9:15 PM. It was dark out. I walked toward my car in the parking lot of the apartment complex. To the east,3/27/2014,9/11/2009,21:15:00
Paw Paw,MI,Circle,900,3 circle objects appear over town,12/12/2009,9/11/2009,20:00:00
Emmett,ID,Circle,60,Light looked like a star but bigger and brighter went across the sky semi fast got dimmer. ((NUFORC Note: Satellite?? PD)),12/12/2009,9/10/2009,21:30:00
South Elgin,IL,Circle,180,2 lights high in sky that looked like 2 comets following the same path. ((NUFORC Note: ISS and Space Shuttle in formation? PD)),12/12/2009,9/9/2009,20:40:00
Fort Worth,TX,Circle,600,"Black round silent object moving slowly to northwest from southwest., no lights, no jet trail, no sound.",12/12/2009,9/9/2009,19:32:00
Timonium,MD,Circle,45,"Orange ball seen over neighborhood in Timonium, Maryland",12/12/2009,9/8/2009,21:37:00
Tigard,OR,Circle,20,Two very distinct bright lights traveling east at 9:22pm PST. ((NUFORC Note: ISS and Space Shuttle in formation. PD)),12/12/2009,9/8/2009,21:22:00
Peonia,CO,Circle,900,Strange light where there were no known planets or large stars in that vicinity,12/12/2009,9/8/2009,21:00:00
Montrose,CA,Circle,5,Bright circular white light heading downward for about 4 or 5 seconds then disappeared,12/12/2009,9/7/2009,0:00:00
Spring Hill,FL,Circle,1080,"Lights in Spring Hill, Fl",12/12/2009,9/7/2009,1:00:00
Harrisville,MI,Circle,300,Orange oscillating light object silently tracks South to north near Sturgeon Point MI.,12/12/2009,9/6/2009,19:57:00
Harrison Twp.,MI,Circle,90,Low flying unidentifiable orange object with orange haze,12/12/2009,9/5/2009,20:45:00
Lombard,IL,Circle,2700,White flat circle with pulsating lights in sky,12/12/2009,9/4/2009,23:05:00
Coniston (Canada),ON,Circle,600,planet type of ball in the sky over 2000 feet wide,12/12/2009,9/4/2009,1:30:00
North Babylon,NY,Circle,120,"UFO Sighting on Long Island,NY",12/12/2009,9/3/2009,19:30:00
Greenville,NY,Circle,600,We witnessed over 20 UFO's traveling northeast across the sky in the span of about ten or fifteen minutes.,12/12/2009,8/30/2009,22:25:00
Clarendon Hills,IL,Circle,15,Observable with changes in direction. No real detail 99% of the time with some brilliant exceptions.,12/12/2009,8/30/2009,22:00:00
Newport,OR,Circle,8,Two separate LARGE balls of light fell from sky within five minutes of eachother.,12/12/2009,8/30/2009,1:00:00
Lake Worth,FL,Circle,300,Very High Slow Moving Object,12/12/2009,8/29/2009,18:00:00
Devon (Canada),AB,Circle,5,"bright green light above Devon, Ab. stopping in the sky veering left & right then out of sight fast.",12/12/2009,8/29/2009,3:30:00
Woodinville,WA,Circle,1,A white color circle light flying low to the ground with a black circle in the middle of the white one,8/28/2009,8/27/2009,0:46:00
Regina (Canada),SK,Circle,900,definately not a plane or helicopter,8/27/2009,8/25/2009,21:00:00
Sarnia (Canada),ON,Circle,45,A Bright Circular Light that was very Bright and made No-Sound.,8/27/2009,8/25/2009,1:30:00
Athens,OH,Circle,3600,"I was standing on our deck with my cousin and I first seen the glow of it in the sky, It was BRIGHT orange and it pulsated bright to li",8/27/2009,8/24/2009,22:00:00
Lafayette,IN,Circle,30,bright pulsating light,8/27/2009,8/24/2009,5:40:00
La Mesa,CA,Circle,1800,"Bright cingular light above San diego that has no sound, has very jerky movement, and is at a extremely high altitude.",8/27/2009,8/24/2009,0:30:00
Summerside (Canada),PE,Circle,60,"White object flying in zigzag pattern over Summerside, PEI, Canada",8/27/2009,8/23/2009,22:30:00
Tustin,CA,Circle,180,"Large yellow & red lights on Red Hill Ave, going South towards Irvine Blvd. The lights simultaneous disappeared as I approached.",8/27/2009,8/23/2009,22:00:00
San Diego,CA,Circle,5,"On august 22, 2009 at about 21:43 in san diego, california. A bright circular craft with blue lights flew through sky and disappeared",8/27/2009,8/22/2009,21:43:00
Reno,NV,Circle,30,"LARGE CIRCULAR DISK APPEARS FROM NOWHERE, THEN MOVES EAST AND FLAMES OUT",2/14/2010,8/21/2009,4:00:00
Westminster,MD,Circle,60,"A magical star looking thing at a football game, right before 2 undeafeted teams played!",12/12/2009,8/19/2009,20:45:00
Orient,ME,Circle,120,bright circle of intense light that vanished into a pinpoint,8/27/2009,8/18/2009,19:45:00
Englewood,CO,Circle,15,Circular object in the sky above Denver,8/27/2009,8/18/2009,4:04:00
Burr Ridge,IL,Circle,900,I live in burr ridge illinois and was walking our dog east bound on our street at around nine oclock on the 15th of August. I enjoy wa,8/27/2009,8/15/2009,21:15:00
Honolulu,HI,Circle,180,Colorful U.F.O. spotted near Hawaii International Airport,8/27/2009,8/15/2009,20:37:00
Red Lodge,MT,Circle,1200,Bright white light - went on and off - drew circles,8/27/2009,8/14/2009,4:42:00
Brinnon,WA,Circle,6,"Fast moving round white light over Hood Canal, stopping and changing direction on a dime",12/12/2009,8/14/2009,1:00:00
Battle Creek,MI,Circle,1800,"Several Multi-Colored flashing crafts spotted in the skys of Battle Creek, Mi, definitely not any kinda plane Ive ever seen.",8/27/2009,8/13/2009,23:53:00
Warsaw,VA,Circle,1800,Its zig-zag movements in the sky were like nothing I have ever seen before!! ((NUFORC Note: Sighting of Arcturus?? PD)),8/27/2009,8/13/2009,23:40:00
North Huntingdon,PA,Circle,240,"Object hovered, then took off",8/27/2009,8/10/2009,22:52:00
Salem,OR,Circle,20,Thought it was a Satellite until witnessing a very bright flash of light come from the object.,8/27/2009,8/10/2009,22:23:00
Red Bud,IL,Circle,180,"Large circular object with red blinking lights over Red Bud, IL Sunday Night",8/27/2009,8/8/2009,23:00:00
Chicago,IL,Circle,10,"Circle light ball in a city,traveling perfectly straight and at the same height all the time.",8/27/2009,8/8/2009,22:12:00
Jupiter,FL,Circle,1800,White - blue and red light seen in the eastern sky moved steadily up the sky in 30 minutes.,8/27/2009,8/6/2009,6:30:00
Clovis,CA,Circle,600,circular object with twinkling lights,8/27/2009,8/5/2009,22:00:00
Keaau,HI,Circle,600,Saw two high-flying reddish balls,8/27/2009,8/3/2009,5:00:00
Grand Rapids,MI,Circle,2,Uniform circular pattern of lights moving very fast across the sky several thousand feet high.,8/5/2009,8/2/2009,22:00:00
Skaneateles,NY,Circle,60,"Circular object with white lights and spot light. Was about 10 feet in diameter, and 10-20 ft off ground",8/5/2009,8/2/2009,0:25:00
Rockport,MA,Circle,3600,I saw an odd shaped flying object followed by a thunder-like sound.,8/5/2009,8/1/2009,21:00:00
Cross Village,MI,Circle,120,The light moved across the field toward the house tipping back and forth. It was a circular shape and very graceful and at the time I,12/12/2009,8/1/2009,2:00:00
Bismarck,MO,Circle,2700,Moon shaped object in western sky glowing orange,8/27/2009,8/1/2009,1:15:00
Willowbrook,IL,Circle,120,"I was sitting at the red light in traffic when for no apparent reason my eyes focused on the sky, it was partly cloudy day sunny, when",8/5/2009,7/31/2009,17:35:00
Vassar,MI,Circle,180,orange ball seen hovering over trees along Sohn Road in Vassar Michigan,8/5/2009,7/31/2009,1:00:00
Myrtle Beach,SC,Circle,30,4 orbs over ocean at Myrtle Beach,8/27/2009,7/29/2009,22:00:00
Hamlin,NY,Circle,7200,"I saw this light that was orange- yellow in the sky. ((NUFORC Note: We suspect a sighting of a star or planet, but not sure. PD))",8/5/2009,7/29/2009,20:00:00
Linoir City,TN,Circle,120,((HOAX??)) The object was mettalic and caused electronics to lose energy.,8/5/2009,7/29/2009,13:00:00
Kingston,WA,Circle,20,"White dot speeds across the sky, disappears and returns on differnt path.",8/27/2009,7/28/2009,22:50:00
Bloomington,MN,Circle,3600,((HOAX??)) lightship it changed colors very bright.,8/5/2009,7/28/2009,0:30:00
Old Forge,NY,Circle,120,It was moving faster than any other aircraft I had ever seen.,8/27/2009,7/27/2009,21:20:00
Old Forge,NY,Circle,120,"craft was a silver circle with 6 distinct lights(2 green, red and white)",8/27/2009,7/27/2009,21:20:00
Plains,PA,Circle,900,Circle shaped object with hollow center slowly glides over Plains PA with 3 other possible objects,8/5/2009,7/26/2009,18:45:00
Plains,PA,Circle,900,2nd sighting of circle ship (with escorts) in same location in 2 years.,8/5/2009,7/26/2009,18:30:00
Chelsea,MI,Circle,240,10-12 objects seen in sky at late dawn,8/5/2009,7/25/2009,21:45:00
Chelsea,MI,Circle,180,"ORANGE CIRCULAR OBJECTS MOVING EAST IN A LINE, FROM THE NORTH WEST SKY. THERE WAS ALSO ONE THAT WAS FAR BEHIND THAT SPEED UP TO CATCH T",8/5/2009,7/25/2009,9:45:00
Erlanger,KY,Circle,240,Tonight at 11:10 pm. we were jumping on the trampoline. ((NUFORC Note: ISS and Space Shuttle?? PD)),8/5/2009,7/24/2009,23:10:00
Piqua,OH,Circle,60,Two bright lights traveling over piqua ohio. ((NUFORC Note: ISS and Space Shuttle in formation?? PD)),8/5/2009,7/24/2009,20:12:00
Fayetteville,AR,Circle,60,A bright object that I identified to my boss incorrectly as the I.S.S. She stated it was moving to fast to be the I.S.S. and that it co,8/5/2009,7/23/2009,22:37:00
Keystone,SD,Circle,45,Strange Orb light in the sky. ((NUFORC Note: Sighting of ISS? Please check <www.heavens-above.com>. PD))</www.heavens-above.com>,8/5/2009,7/22/2009,23:00:00
Victorville,CA,Circle,2700,Orange light spotted and it couldnt be a star.,8/5/2009,7/21/2009,22:30:00
Laramie,WY,Circle,45,"Bright white light. ((NUFORC Note: Probable sighting of ISS, which passed to the north of Laramie at 22:15 hrs.. PD))",8/5/2009,7/21/2009,22:15:00
Longview,TX,Circle,300,Bright object suddenly gone,8/5/2009,7/18/2009,23:00:00
Vancouver,WA,Circle,240,Round shape flying across evening sky for about four minutes. ((NUFORC Note: Sighting of ISS overflight. PD)),8/5/2009,7/18/2009,22:50:00
Brinnon,WA,Circle,1200,blue and red lighted object dancing above the Duckabush River,8/5/2009,7/18/2009,2:00:00
Woodville,MS,Circle,480,Circular florescent pulsating light.,8/5/2009,7/17/2009,23:00:00
Rancho Santa Margarita,CA,Circle,900,was at the neiborhood with a few friends and sighed a round ufo.,8/5/2009,7/17/2009,21:30:00
Kalispell,MT,Circle,300,"Large, bright light with no sound moved slowly over the Flathead Valley, MT towards the southeast, dimmed and vanished .",8/5/2009,7/16/2009,23:30:00
Charlotte,NC,Circle,60,Strange balls of light in the sky,12/12/2011,7/15/2009,21:00:00
Somerset,PA,Circle,900,"Craft with lots of light, hovering over pine trees in the woods.",1/30/2014,7/15/2009,10:00:00
St. Francisville,LA,Circle,20,"Black circular object illuminates orange light, and then flies away without sound.",8/25/2016,7/14/2009,23:00:00
Brandon,FL,Circle,2,Ball of light falls from the sky.,8/5/2009,7/12/2009,23:00:00
San Jose,CA,Circle,7200,Spotted 7 total objects in the daylight sky. 2 stayed for over 10 mins before flying away. Polarized sunglasses aided view .,8/5/2009,7/12/2009,17:00:00
Moundsville,WV,Circle,300,"22:15pm Moundsville,WV Circle of light 5minutes duration Brite light over Moundsville 7 / 11 / 2009",8/5/2009,7/11/2009,22:00:00
Bear Creek,AL,Circle,4,It was moving very fast. It was a little bigger than a dime compared the stars. It was circle and bright. It swerved and disappeared.,2/10/2012,7/10/2009,23:00:00
Barnwell,SC,Circle,90,redish orange ball emerging from shooting star trail.,8/5/2009,7/10/2009,21:15:00
San Jose,CA,Circle,1200,"I saw a bright, moving, red light in the sky.",8/27/2009,7/9/2009,23:50:00
Brigham City,UT,Circle,1080,Two circular shaped objects seen flying in an unusal pattern with alternating speeds and lights with varying levels of brightness.,8/5/2009,7/9/2009,23:00:00
Albany,OR,Circle,120,2 star like objects moving through sky completely quiet,8/5/2009,7/8/2009,22:00:00
Powell,WY,Circle,10,I was sitting outside on the front porch of my dorm enjoying a cigarette with a friend when I looked up and saw what I thought was a si,8/5/2009,7/8/2009,4:25:00
Williamstown,NJ,Circle,3600,((HOAX??)) We didn't believe in UFOs untill now.,8/5/2009,7/6/2009,17:30:00
Miami,FL,Circle,360,A disc-shaped craft was spotted while driving.,8/5/2009,7/5/2009,23:40:00
Lemon Grove,CA,Circle,1200,Four red lights in formation on july forth,2/14/2010,7/4/2009,23:00:00
Macomb Township,MI,Circle,300,"July 4th Sighting in Macomb Township, Michigan",8/5/2009,7/4/2009,22:30:00
Chicago,IL,Circle,600,3 red lights seen over Chicago,8/5/2009,7/4/2009,22:30:00
East Haven,CT,Circle,300,i was sitting on my side porch with my husband and was watching the fireworks in my neighborhood and he spotted an orange glowing ball,8/5/2009,7/4/2009,22:10:00
Federal Way,WA,Circle,180,11 of us saw a glowing/orb that went from west to east in about a 3 1/2 minute time frame. I took pictures of it.,8/5/2009,7/4/2009,22:00:00
Auburn,WA,Circle,180,"Red, circular, unknown craft over Auburn, WA on the 4th of July 2009 at 10:00 PM",8/5/2009,7/4/2009,22:00:00
Dickson City,PA,Circle,600,Orange circles disappearing and reappearing in various directions.,8/5/2009,7/4/2009,22:00:00
South Elgin,IL,Circle,1200,"10 orange/red round objects size of a large plane lights at night - this happened during fourth of July fireworks, 500 Lights On Objec",8/5/2009,7/4/2009,21:30:00
Oxford,MI,Circle,60,07/03/09 Oxford MI clear object with fire in the middle 1 minute Object appeared down the street and then dissapeared into the sky,8/5/2009,7/3/2009,23:45:00
Tucson,AZ,Circle,2700,UFO's ARE REAL,8/5/2009,7/3/2009,3:30:00
Los Angeles,CA,Circle,15,A huge white bright circle half the size of the moon that moved in our direction for 15 seconds and disappeared.,8/5/2009,7/2/2009,23:00:00
Montrose,CO,Circle,10,solid bright light hovering in sky.,8/5/2009,7/1/2009,23:00:00
Flint,MI,Circle,30,Circular flying object with red white and blue sets of lights.,8/5/2009,6/30/2009,22:11:00
St. Laurent (Canada),MB,Circle,7200,Mother ship and saucers many of which I feel and know are coming why?? But they let me know always.,7/3/2013,6/30/2009,1:15:00
Southgate,MI,Circle,600,2 Very bright red round looking objects in southern sky.,8/5/2009,6/29/2009,23:00:00
Dallas,TX,Circle,1,round bright light with wedge of red light on it. Stationary in sky. Larger than full moon. Not a plane. Not a star. Not the moon.,8/5/2009,6/28/2009,22:00:00
Bowling Green,KY,Circle,4,Two round gold reflecting discs stationary over kentucky,8/5/2009,6/28/2009,20:30:00
Beaufort,SC,Circle,3,Ball streaking through sky during fishing show (TV).,8/5/2009,6/27/2009,20:00:00
Atlanta,GA,Circle,20,Piedmont Park: Circular UFO with Blue Lights!,8/5/2009,6/26/2009,21:30:00
Burlington,VT,Circle,60,Horizontal flaming metior going accross the sky.,8/27/2009,6/26/2009,1:30:00
Wiarton (Canada),ON,Circle,1800,1 craft seemed to steal earths energy to power up its craft.,8/5/2009,6/24/2009,1:00:00
Emerald Bay Catalina island,CA,Circle,300,A ufo was going around the sky then a uso watched us for a couple minutes.,4/13/2010,6/22/2009,21:00:00
Rockville Center,NY,Circle,3,Circular light without any structure denoting an airplane on Long Island.,8/5/2009,6/22/2009,8:45:00
Canton,GA,Circle,3,very bright white circle light with a bit of a halo glow around it,8/5/2009,6/20/2009,11:16:00
West Union,OH,Circle,300,"Silent orange glowing ""harvest moon-like"" ball sitting behind a treeline.",8/29/2014,6/17/2009,22:00:00
Huntington,NY,Circle,300,"Bright blue light visible during daylight hours moving across sky,",8/5/2009,6/16/2009,17:00:00
Woodbury,MN,Circle,45,"nightime, fuzzy circle (a bit brighter than a nightime cloud) with an intermittently flashing amber light beneath, moving quickly NNW.",8/5/2009,6/14/2009,23:35:00
Surprise,AZ,Circle,180,"it was 2 in the mornig. me and my friend were just sitting outside until i looked up, there was a purple circle shaped object with spin",4/13/2010,6/14/2009,2:00:00
Doswell,VA,Circle,10800,"perfect circle grey with no lights. Doswell,virginia",8/5/2009,6/13/2009,19:30:00
Penokee,KS,Circle,600,Bright light with rotaton lights on outside of round body craft,8/5/2009,6/10/2009,21:50:00
Waltonville,IL,Circle,60,"UFO fleet witnessed in Southern Illinois, during the summer of 2009.",7/4/2012,6/10/2009,14:30:00
Paradise Valley,AZ,Circle,300,Star-looking object beneath the clouds stopping and starting,8/5/2009,6/10/2009,1:10:00
Los Angeles (Lincoln Heights),CA,Circle,45,UFO in Los Angeles Late night 6/08/09,6/9/2009,6/8/2009,22:30:00
Van Nuys,CA,Circle,600,At about 11PM Sunday i was standing in my parking lot and noticed 2 orbs of light they had a amber glow! they were there for about 10 m,6/9/2009,6/6/2009,23:00:00
Valley Cottage,NY,Circle,300,Me and my friend sitting in her back yard sow what we thought was a shooting star,6/9/2009,6/6/2009,23:00:00
Hollister,CA,Circle,60,"Orange glowing disc over Hollister, CA",8/5/2009,6/6/2009,0:01:00
Lacassine,LA,Circle,900,"June 4,at 9:30pm I am outside looking up and I seen a fleet of lights coming from the Gulf shore heading directly over me. They made no",8/5/2009,6/4/2009,21:30:00
Lacassine,LA,Circle,300,"bright white light flashing coming from the east, above tree level but below cloud level.",8/5/2009,6/3/2009,22:30:00
Pennellville,NY,Circle,900,"Circular Object Seen in Pennellville,NY",6/9/2009,6/1/2009,3:00:00
Norman,OK,Circle,600,Orange and Red light above Norman Oklahoma.,6/9/2009,5/30/2009,21:40:00
Duluth,GA,Circle,300,"very bright circular object, white light, moving to the east",6/9/2009,5/28/2009,21:50:00
Knoxville,TN,Circle,180,bright white light in sky moving slowly to southeast.,6/9/2009,5/28/2009,21:45:00
Cottonwood Heights,UT,Circle,180,Unusual object over Wasatch Front Range.,6/9/2009,5/28/2009,21:15:00
Gilbert/Chandler,AZ,Circle,1200,"Observed nine circles, NW of Queen Creek, over Chandler. They went from a box formation to triangle formation.",8/5/2009,5/28/2009,7:10:00
Myrtle Beach,SC,Circle,60,3 lights appeared over the ocean; lasting for several seconds; exactly like the sighting in Myrtle Beach on 9/08.,6/9/2009,5/27/2009,22:00:00
Pawleys Island,SC,Circle,1800,Strange lights in sky over Pawleys Island. ((NUFORC Note: Many other sighting reports. PD)),6/9/2009,5/27/2009,22:00:00
North Myrtle Beach,SC,Circle,60,"Around 10pm looking towards the Atlantic Ocean from North Myrtle, SC, we saw 3 progressively blinking reddish-orange lights.",6/9/2009,5/27/2009,22:00:00
Grand Junction,CO,Circle,5,"Four large lights in V formation, going fast, passed over my house.",6/9/2009,5/27/2009,4:00:00
Goodlettsville,TN,Circle,20,"2 circles shapes moving across the sky , was not a bird or a plane",6/9/2009,5/25/2009,21:30:00
Phoenix,AZ,Circle,3,"I noticed a small, white, circular object move a short distance in the sky, then all of a sudden disappear.",6/9/2009,5/24/2009,17:00:00
Las Cruces,NM,Circle,900,"On April 23, 2009 I saw three objects with bright lights that follow our vechicle on the freeway.",8/5/2009,5/24/2009,2:15:00
Zimmerman,MN,Circle,60,"We witnessed a lighted object in the sky, that was orange in color with a circular structure,",6/9/2009,5/23/2009,21:48:00
Bradley Beach,NJ,Circle,120,orange circles moving along side each other,6/9/2009,5/21/2009,21:00:00
Sharon,PA,Circle,10,round light moved at regular speed moving out of Earth's atmosphere,6/9/2009,5/20/2009,3:00:00
Springfield/Papillion,NE,Circle,60,"A large object was seen by myself and two witnesses, about the size of an airplane but behaving in a way that would suggest it was not.",6/9/2009,5/19/2009,23:45:00
Berlin,NJ,Circle,20,We saw three lights move quickly and then turn into one light.,6/9/2009,5/19/2009,9:20:00
Laughlin,NV,Circle,1800,Laughlin sighting ((NUFORC Note: Confirmed high-altitude research balloon. PD)),6/9/2009,5/18/2009,19:50:00
Lake Havasu City,AZ,Circle,7200,small shinny dot in the air that will not move as high as an airplane. ((NUFORC Note: Confirmed high-altitude research balloon. PD)),6/9/2009,5/18/2009,19:32:00
Hanover (Canada),ON,Circle,20,"Silent, circular shaped burnt orange colored object with no lights that doesn't like being hit with a laser pointer",6/9/2009,5/17/2009,23:35:00
Homer Glen,IL,Circle,240,"There was a circular object with 3 lights on it, 2 yellow and 1 red, that moved downward at one point and came to complete stop.",6/9/2009,5/17/2009,21:00:00
Fort Collins,CO,Circle,120,UFO moving out with jet following,6/9/2009,5/17/2009,15:30:00
Twisp,WA,Circle,600,"Larger then planet size green glittering object with red lights in it, hovering high above town in the eastern sky.",6/9/2009,5/15/2009,22:00:00
Watertown,CT,Circle,120,bright red orange light in nightsky full circle smoothe moving,6/9/2009,5/15/2009,22:00:00
Dubuque,IA,Circle,10,Red glowing ball taking off before thunderstorm arrived on location,2/14/2010,5/15/2009,17:00:00
Scarborough,ME,Circle,5,"Fast, amber color, no noise, 5 seconds horizon to horizon, circular, spoked wheel looking",6/9/2009,5/12/2009,0:00:00
Tobay Beach,NY,Circle,600,05/10/09 Tobay Beach N.Y. A silver reflective circle shaped object flying from west to east above an airplane,5/12/2009,5/10/2009,16:30:00
Hoboken,NJ,Circle,15,Round amber illuminated object flew overhead towards NYC at 12:15am on Mothers Day!,5/12/2009,5/10/2009,0:15:00
Tucson,AZ,Circle,1800,Three Shinny objects spotted over Tucson AZ,5/12/2009,5/9/2009,16:30:00
Temecula,CA,Circle,14400,Southern California Bright Light/ UFO? Early Morning.,5/12/2009,5/9/2009,4:00:00
New Oxford,PA,Circle,300,Circular craft over new oxford.,5/12/2009,5/1/2009,22:13:00
Houston,TX,Circle,3,"It looked like the one from ""race to witch mountain"" and it came back a couple of times.",12/12/2009,4/30/2009,23:00:00
Rome,GA,Circle,1800,Hovering object on Mt. Alto in Rome GA,5/12/2009,4/27/2009,5:00:00
New York City (Brooklyn),NY,Circle,14,"VIDEO of orb in Brooklyn, NY 4/26/09",5/12/2009,4/26/2009,17:00:00
Miami,FL,Circle,45,miami us citizen witness a ufo,5/12/2009,4/23/2009,21:00:00
Gaithersburg,MD,Circle,1800,5 bright lights in the sky in a straight line,5/12/2009,4/21/2009,21:25:00
Shawnee,OK,Circle,20,"This was the morning of april 21st, the ufo was circular and emitted a beam of light from the underbelly.",6/9/2009,4/21/2009,4:30:00
Ontario,CA,Circle,120,4 orange dots im the sky,5/12/2009,4/19/2009,21:35:00
Falls Church,VA,Circle,8,"At 11:15pm on April 17, 2009, four bright objects were sighted flying at a very high speed, in a strange pattern, over N. Va",5/12/2009,4/17/2009,23:15:00
Lavalette,WV,Circle,10,"Bright, moving circular object dims, brightens slightly then disapears in a clear sky.",5/12/2009,4/17/2009,21:20:00
Toronto (Canada),ON,Circle,1800,Hovering object flickering overtop Toronto!,5/12/2009,4/17/2009,10:10:00
Tampa,FL,Circle,2,I was taking a series of pics of airliner and in only two pics did an unknown object appear. At first it was small white dot and in n,5/12/2009,4/15/2009,15:51:00
Dunellen,NJ,Circle,120,"pink light, came closer, looking like a white object, than reoccurred three more times in same area over the next half hour",4/14/2009,4/10/2009,23:00:00
Everett,MA,Circle,20,Everett Mass 3 witnesses,8/5/2009,4/10/2009,8:30:00
Calcutta,OH,Circle,600,"3 lighted circular craft over calcutta,ohio.",5/12/2009,4/9/2009,22:45:00
Toledo,OH,Circle,300,"Round craft with big bright lights near Toledo, OH.",4/14/2009,4/8/2009,21:55:00
Austin,TX,Circle,1200,Bright Star like object,4/14/2009,4/7/2009,0:00:00
Leitchfield,KY,Circle,45,unknown lights in a field,6/9/2009,4/3/2009,18:00:00
Dudley,MA,Circle,900,I was watching a program on TV when I looked out my door and I saw this huge cicle over a light tower that is very visible through my d,4/14/2009,3/30/2009,23:50:00
Annapolis,MD,Circle,10,Flaming baseball sized object fell quietly from the dark sky; flamed out at 20 feet above water.((NUFORC Note: Suspected meteor. PD)),4/14/2009,3/29/2009,21:40:00
Chatsworth,GA,Circle,120,object appeared to float over just barely above tree line way to low for a plane but saw red and white lights no noise,4/14/2009,3/26/2009,21:45:00
Streetsboro,OH,Circle,300,I AM VERY SURE OF WHAT MY WIFE AND I SAW,4/14/2009,3/26/2009,20:00:00
Coral Springs,FL,Circle,60,Orange shooting star seeing on the South Florida night sky,4/14/2009,3/24/2009,4:36:00
Sault Ste. Marie,MI,Circle,300,It hovered slowly over the car Sault Saint.,4/14/2009,3/22/2009,21:00:00
Riverton,UT,Circle,300,"At midnight I observed a bright multi-colored pulsa I called a friend who lives in Orem, Utah which is 20 miles south of Riverton. He",4/14/2009,3/21/2009,23:59:00
San Diego,CA,Circle,240,Two UFOs seen over Ocean Beach in San Diego,4/14/2009,3/21/2009,22:00:00
San Diego,CA,Circle,420,Two circular crafts with blue circular lights were seen in San Diego on 21 March 2009 40 mins after midnight.,4/14/2009,3/21/2009,0:40:00
Tacoma,WA,Circle,900,"flashing light over tacoma, washington",2/23/2011,3/20/2009,0:00:00
Tacoma,WA,Circle,900,"flashing light over tacoma, washington ((NUFORC Note: Same report submitted by second witness. PD))",2/23/2011,3/20/2009,0:00:00
Wicomico,VA,Circle,240,"A large orange orb moved quickly out of the Northwest then turned south, slowed down and eventually faded away.",3/19/2009,3/17/2009,21:14:00
Mokena,IL,Circle,900,"3 red orbs in Mokena, Illinois heading towards Tinley Park.",3/19/2009,3/16/2009,20:00:00
Afton,MI,Circle,20,fairly big circle of light in the air. flying,3/19/2009,3/16/2009,9:00:00
San Luis Obispo,CA,Circle,180,03-15-09 ROUND VENSUS SIZE OBJECT MOVING SOUTH TO NORTH JOGING EAST TO WEST,3/19/2009,3/15/2009,19:58:00
Murrieta,CA,Circle,60,"A small, flaming- looking object that moved strangely.",3/19/2009,3/13/2009,19:35:00
Riverton,UT,Circle,2700,"Round obj. flashing red, blue, green, yellow colors; 10 deg. above hor. and sSSW of my position. ((NUFORC Note: Sirius? PD))",3/19/2009,3/12/2009,0:15:00
Newport Beach,CA,Circle,300,"03/10/09 Two 2-foot-diameter bright white lighted circles ""dancing,"" each with one red light on the circle.",3/19/2009,3/10/2009,21:55:00
West Valley City,UT,Circle,1200,Objects hovering near and above Salt Lake City and other one flying in zig zag pattern,3/19/2009,3/5/2009,20:05:00
Shannon,NC,Circle,900,"doughnut shaped, brightly lite, hovering object southeastern NC 6:45 am on 3/05/2009",3/19/2009,3/5/2009,6:45:00
Phoenix (above; in-flight sighting),AZ,Circle,5,"small, silver ball with red light/glow low altitude",5/12/2011,2/28/2009,11:20:00
Tampa,FL,Circle,1,I took picture of high flying airplane and when downloaded on computer saw what looks like a very large disc shape crossing ahead of je,5/12/2009,2/27/2009,12:23:00
South Yarmouth,MA,Circle,120,I hope someone else can report on this!,3/19/2009,2/27/2009,9:45:00
Jetmore,KS,Circle,1800,Bright multi-colored object that slowly hovers to the ground in the W sky in small KS town. ((NUFORC Note: Venus or Sirius? PD)),3/19/2009,2/26/2009,21:40:00
Shirley,NY,Circle,108000,im convinced i've seen a UFO this day in the sky over my house.,5/12/2009,2/26/2009,12:00:00
Ellensburg,WA,Circle,5,"A large object at night, having nothing but reflective light, travelling at great speed.",3/19/2009,2/25/2009,21:45:00
Citrus heights,CA,Circle,30,"lights moved in an oblomg movement, disappearing and reapearing with no pattern. Height between 20,000 agl and 30,000 agl. The movement",3/19/2009,2/24/2009,15:25:00
Redondo Beach,CA,Circle,600,Bright ringed object seen tumbling soundlessly over Redondo Beach CA.,3/19/2009,2/22/2009,19:00:00
Knoxville,MD,Circle,60,We saw a circular-shaped UFO flying over the river and mountain. ((NUFORC Note: Student report. PD)),3/19/2009,2/21/2009,22:40:00
Corona,CA,Circle,40,"I was driving with my girlfriend heading north on Temescal canyon road/Ontario avenue. Directly in front of me at a very far distance,",3/19/2009,2/21/2009,20:30:00
Gloucester,MA,Circle,240,This object stayed in one spot not moving around at all ' but had aluminating lights in it.,3/19/2009,2/20/2009,22:40:00
Anaheim,CA,Circle,900,Glowing Globe of Light,3/19/2009,2/18/2009,21:32:00
Parsippany,NJ,Circle,1200,9 red circular flying lights in different formations flying slowly and hovering then disappeared,3/19/2009,2/17/2009,20:45:00
Allentown,PA,Circle,1800,Bright light in nite sky,3/19/2009,2/15/2009,23:00:00
Maple Falls,WA,Circle,60,Large round object with multicolored lights.,3/19/2009,2/15/2009,23:00:00
